step,population,mean_energy,food
10,25,254.6,497
20,25,382.8,416
30,25,469.0,370
40,25,574.4,308
50,25,660.6,262
60,25,739.6,222
70,25,806.6,192
80,25,878.4,158
90,25,938.2,134
100,25,995.6,112
110,25,1042.2,99
120,25,1085.2,89
130,25,1134.2,74
140,25,1166.4,73
150,25,1202.2,69
160,25,1226.0,75
170,25,1253.4,78
180,25,1286.8,76
190,25,1311.8,81
200,25,1339.2,84
210,25,1365.4,88
220,25,1391.6,92
230,25,1426.2,89
240,25,1462.0,85
250,25,1494.2,84
260,25,1513.2,94
270,25,1535.8,101
280,25,1574.0,95
290,25,1607.4,93
300,25,1646.8,86
310,25,1680.2,84
320,25,1706.4,88
330,25,1736.2,89
340,25,1780.4,78
350,25,1806.6,82
360,25,1842.4,78
370,25,1879.4,73
380,25,1912.8,71
390,25,1941.4,73
400,25,1979.6,67
410,25,2020.2,59
420,25,2047.6,62
430,25,2072.6,67
440,25,2101.2,69
450,25,2126.2,74
460,25,2157.2,74
470,25,2196.6,67
480,25,2238.4,58
490,25,2263.4,63
500,25,2290.8,66
510,25,2318.2,69
520,25,2351.6,67
530,25,2387.4,63
540,25,2406.4,73
550,25,2443.4,68
560,25,2479.2,64
570,25,2512.6,62
580,25,2546.0,60
590,25,2579.4,58
600,25,2608.0,60
610,25,2634.2,64
620,25,2661.6,67
630,25,2693.8,66
640,25,2715.2,74
650,25,2746.2,74
660,25,2783.2,69
670,25,2814.2,69
680,25,2838.0,75
690,25,2871.4,73
700,25,2900.0,75
710,25,2915.4,88
720,25,2940.4,93
730,25,2963.0,100
740,25,2992.8,101
750,25,3037.0,90
760,25,3072.8,86
770,25,3123.0,70
780,25,3150.4,73
790,25,3174.2,79
800,25,3211.2,74
810,25,3244.6,72
820,25,3279.2,69
830,25,3306.6,72
840,25,3355.6,57
850,25,3381.8,61
860,25,3406.8,66
870,25,3435.4,68
880,25,3467.6,67
890,25,3487.8,76
900,25,3521.2,74
910,25,3559.4,68
920,25,3592.8,66
930,25,3611.8,76
940,25,3641.6,77
950,25,3678.6,72
960,25,3712.0,70
970,25,3737.0,75
980,25,3751.2,89
990,25,3793.0,80
1000,25,3826.4,78
1010,25,3855.0,80
1020,25,3889.6,77
1030,25,3935.0,65
1040,25,3962.4,68
1050,25,3993.4,68
1060,25,4025.6,67
1070,25,4057.8,66
1080,25,4088.8,66
1090,25,4122.2,64
1100,25,4154.4,63
1110,25,4177.0,70
1120,25,4196.0,80
1130,25,4229.4,78
1140,25,4260.4,78
1150,25,4293.8,76
1160,25,4340.4,63
1170,25,4379.8,56
1180,25,4415.6,52
1190,25,4451.4,48
1200,25,4477.6,52
1210,25,4506.2,54
1220,25,4540.8,51
1230,25,4559.8,61
1240,25,4577.6,72
1250,25,4611.0,70
1260,25,4637.2,74
1270,25,4669.4,73
1280,25,4700.4,73
1290,25,4735.0,70
1300,25,4768.4,68
1310,25,4801.8,66
1320,25,4830.4,68
1330,25,4863.8,66
1340,25,4892.4,68
1350,25,4923.4,68
1360,25,4948.4,73
1370,25,4973.4,78
1380,25,5000.8,81
1390,25,5042.6,72
1400,25,5062.8,81
1410,25,5095.0,80
1420,25,5129.6,77
1430,25,5179.8,61
1440,25,5201.2,69
1450,25,5223.8,76
1460,25,5252.4,78
1470,25,5300.2,64
1480,25,5331.2,64
1490,25,5363.4,63
1500,25,5395.6,62
1510,25,5424.2,64
1520,25,5452.8,66
1530,25,5486.2,64
1540,25,5514.8,66
1550,25,5543.4,68
1560,25,5569.6,72
1570,25,5599.4,73
1580,25,5618.4,83
1590,25,5642.2,89
1600,25,5667.2,94
1610,25,5703.0,90
1620,25,5737.6,87
1630,25,5773.4,83
1640,25,5809.2,79
1650,25,5853.4,68
1660,25,5891.6,62
1670,25,5913.0,70
1680,25,5938.0,75
1690,25,5971.4,73
1700,25,6000.0,75
1710,25,6023.8,81
1720,25,6063.2,74
1730,25,6093.0,75
1740,25,6113.2,84
1750,25,6140.6,87
1760,25,6180.0,80
1770,25,6214.6,77
1780,25,6245.6,77
1790,25,6281.4,73
1800,25,6313.6,72
1810,25,6336.2,79
1820,25,6362.4,83
1830,25,6398.2,79
1840,25,6423.2,84
1850,25,6453.0,85
1860,25,6480.4,88
1870,25,6513.8,86
1880,25,6556.8,76
1890,25,6583.0,80
1900,25,6617.6,77
1910,25,6649.8,76
1920,25,6680.8,76
1930,25,6722.6,67
1940,25,6757.2,64
1950,25,6788.2,64
1960,25,6818.0,65
1970,25,6843.0,70
1980,25,6875.2,69
1990,25,6913.4,63
2000,25,6952.8,56
2010,25,6993.4,48
2020,25,7020.8,51
2030,25,7041.0,60
2040,25,7061.2,69
2050,25,7085.0,75
2060,25,7118.4,73
2070,25,7151.8,71
2080,25,7180.4,73
2090,25,7209.0,75
2100,25,7229.2,84
2110,25,7257.8,86
2120,25,7298.4,78
2130,25,7327.0,80
2140,25,7355.6,82
2150,25,7375.8,91
2160,25,7412.8,86
2170,25,7454.6,77
2180,25,7477.2,84
2190,25,7510.6,82
2200,25,7535.6,87
2210,25,7571.4,83
2220,25,7597.6,87
2230,25,7622.6,92
2240,25,7651.2,94
2250,25,7679.8,96
2260,25,7714.4,93
2270,25,7752.6,87
2280,25,7788.4,83
2290,25,7812.2,89
2300,25,7849.2,84
2310,25,7874.2,89
2320,25,7912.4,83
2330,25,7955.4,73
2340,25,7982.8,76
2350,25,8011.4,78
2360,25,8029.2,89
2370,25,8054.2,94
2380,25,8080.4,98
2390,25,8121.0,90
2400,25,8161.6,82
2410,25,8198.6,77
2420,25,8230.8,76
2430,25,8276.2,64
2440,25,8322.8,51
2450,25,8349.0,55
2460,25,8375.2,59
2470,25,8403.8,61
2480,25,8426.4,68
2490,25,8452.6,72
2500,25,8484.8,71
2510,25,8512.2,74
2520,25,8549.2,69
2530,25,8577.8,71
2540,25,8606.4,73
2550,25,8648.2,64
2560,25,8685.2,59
2570,25,8712.6,62
2580,25,8743.6,62
2590,25,8774.6,62
2600,25,8798.4,68
2610,25,8830.6,67
2620,25,8865.2,64
2630,25,8903.4,58
2640,25,8934.4,58
2650,25,8965.4,58
2660,25,8984.4,68
2670,25,9003.4,78
2680,25,9018.8,91
2690,25,9052.2,89
2700,25,9079.6,92
2710,25,9103.4,98
2720,25,9141.6,92
2730,25,9175.0,90
2740,25,9209.6,87
2750,25,9243.0,85
2760,25,9258.4,98
2770,25,9277.4,108
2780,25,9295.2,119
2790,25,9328.6,117
2800,25,9351.2,124
2810,25,9388.2,119
2820,25,9412.0,125
2830,25,9451.4,118
2840,25,9490.8,111
2850,25,9520.6,112
2860,25,9569.6,97
2870,25,9613.8,86
2880,25,9643.6,87
2890,25,9665.0,95
