step,population,mean_energy,food
2750,25,9241.8,86
2760,25,9278.8,81
2770,25,9314.6,77
2780,25,9350.4,73
2790,25,9377.8,76
2800,25,9404.0,80
2810,25,9433.8,81
2820,25,9455.2,89
2830,25,9483.8,91
2840,25,9524.4,83
2850,25,9543.4,93
2860,25,9561.2,104
2870,25,9594.6,102
2880,25,9625.6,102
2890,25,9665.0,95
2900,25,9706.8,86
2910,25,9742.6,82
2920,25,9777.2,79
2930,25,9802.2,84
2940,25,9839.2,79
2950,25,9877.4,73
2960,25,9896.4,83
2970,25,9927.4,83
2980,25,9951.2,89
2990,25,9981.0,90
3000,25,10008.4,93
3010,25,10043.0,90
3020,25,10086.0,80
3030,25,10120.6,77
3040,25,10156.4,73
3050,25,10183.8,76
3060,25,10210.0,80
3070,25,10248.2,74
3080,25,10275.6,77
3090,25,10301.8,81
3100,25,10330.4,83
3110,25,10353.0,90
3120,25,10385.2,89
3130,25,10423.4,83
3140,25,10444.8,91
3150,25,10481.8,86
3160,25,10506.8,91
3170,25,10542.6,87
3180,25,10567.6,92
3190,25,10591.4,98
3200,25,10616.4,103
3210,25,10629.4,118
3220,25,10659.2,119
3230,25,10692.6,117
3240,25,10726.0,115
3250,25,10758.2,114
3260,25,10803.6,102
3270,25,10832.2,104
3280,25,10863.2,104
3290,25,10897.8,101
3300,25,10927.6,102
3310,25,10974.2,89
3320,25,11011.2,84
3330,25,11061.4,68
3340,25,11097.2,64
3350,25,11116.2,74
3360,25,11138.8,81
3370,25,11167.4,83
3380,25,11192.4,88
3390,25,11236.6,77
3400,25,11271.2,74
3410,25,11305.8,71
3420,25,11346.4,63
3430,25,11384.6,57
3440,25,11413.2,59
3450,25,11441.8,61
3460,25,11471.6,62
3470,25,11496.6,67
3480,25,11518.0,75
3490,25,11552.6,72
3500,25,11578.8,76
3510,25,11609.8,76
3520,25,11631.2,84
3530,25,11667.0,80
3540,25,11704.0,75
3550,25,11735.0,75
3560,25,11766.0,75
3570,25,11791.0,80
3580,25,11807.6,92
3590,25,11835.0,95
3600,25,11869.6,92
3610,25,11894.6,97
3620,25,11917.2,104
3630,25,11948.2,104
3640,25,11975.6,107
3650,25,12011.4,103
3660,25,12047.2,99
3670,25,12090.2,89
3680,25,12132.0,80
3690,25,12167.8,76
3700,25,12198.8,76
3710,25,12227.4,78
3720,25,12264.4,73
3730,25,12291.8,76
3740,25,12319.2,79
3750,25,12353.8,76
3760,25,12381.2,79
3770,25,12419.4,73
3780,25,12456.4,68
3790,25,12489.8,66
3800,25,12523.2,64
3810,25,12567.4,53
3820,25,12590.0,60
3830,25,12615.0,65
3840,25,12643.6,67
3850,25,12666.2,74
3860,25,12694.8,76
3870,25,12735.4,68
3880,25,12774.8,61
3890,25,12809.4,58
3900,25,12828.4,68
3910,25,12860.6,67
3920,25,12886.8,71
3930,25,12907.0,80
3940,25,12948.8,71
3950,25,12981.0,70
3960,25,13008.4,73
3970,25,13049.0,65
3980,25,13081.2,64
3990,25,13118.2,59
4000,25,13144.4,63
4010,25,13176.6,62
4020,25,13207.6,62
4030,25,13232.6,67
4040,25,13262.4,68
